Geography,Category,Data Type,Unit,Current Constant,2019,2020,2021
Sri Lanka,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,LKR million,Current Prices,"87,967.7","90,740.3","104,888.3"
Taiwan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TWD million,Current Prices,"193,706.1","197,839.6","190,025.1"
Thailand,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,THB million,Current Prices,"157,017.0","160,990.9","157,169.8"
Turkmenistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TMT million,Current Prices,429.4,426.9,498.9
Uzbekistan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,UZS million,Current Prices,"1,243,704.2","1,420,495.5","1,629,446.5"
Vietnam,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,VND million,Current Prices,"119,968,212.3","124,930,857.2","129,666,556.8"
Australasia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"23,376.7","22,109.3","26,017.4"
Australia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,AUD million,Current Prices,"32,120.0","30,613.2","32,983.8"
New Zealand,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,NZD million,Current Prices,"1,601.7","1,625.9","1,766.5"
Eastern Europe,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"54,021.3","52,247.2","58,972.7"
Belarus,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BYN million,Current Prices,"1,838.9","1,935.0","2,205.2"
Bosnia and Herzegovina,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BAM million,Current Prices,465.7,450.8,489.7
Bulgaria,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BGN million,Current Prices,"3,430.5","3,589.1","3,965.3"
Croatia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,HRK million,Current Prices,"6,326.6","5,262.3","6,359.1"
Czech Republic,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CZK million,Current Prices,"38,694.2","37,728.6","39,825.5"
Estonia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,257.6,264.0,305.3
Georgia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,GEL million,Current Prices,"2,624.6","3,053.6","3,717.4"
Hungary,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,HuF million,Current Prices,"462,176.8","475,442.1","516,395.8"
Latvia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,354.8,355.2,359.5
Lithuania,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,869.6,945.7,965.3
Montenegro,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,58.8,52.5,55.8
North Macedonia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,MKD million,Current Prices,"3,759.0","3,626.7","4,155.6"
Poland,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PLN million,Current Prices,"51,248.3","52,306.4","58,250.5"
Romania,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,RON million,Current Prices,"27,951.2","29,505.9","31,568.8"
Russia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,RUB million,Current Prices,"1,154,824.0","1,126,432.6","1,300,618.7"
Serbia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,RSD million,Current Prices,"91,067.7","89,577.2","99,949.6"
Slovakia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,752.2,763.6,828.2
Slovenia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,487.2,468.8,533.3
Ukraine,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,UAH million,Current Prices,"79,200.2","84,394.0","102,341.4"
Latin America,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"102,380.8","90,961.3","100,068.0"
Argentina,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,ARS million,Current Prices,"383,114.8","462,585.3","740,281.1"
Bolivia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BOB million,Current Prices,"1,802.0","1,632.0","1,742.2"
Brazil,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BRL million,Current Prices,"157,013.0","185,792.2","199,895.2"
Chile,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CLP million,Current Prices,"3,474,525.4","3,334,811.8","4,202,578.4"
Colombia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,COP million,Current Prices,"31,627,560.0","30,828,504.4","36,504,316.9"
Costa Rica,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CRC million,Current Prices,"527,742.8","521,548.1","555,505.4"
Dominican Republic,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,DOP million,Current Prices,"35,376.4","35,518.2","40,379.4"
Ecuador,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"2,035.4","1,854.1","2,020.4"
El Salvador,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,872.3,776.7,894.1
Guatemala,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,GTQ million,Current Prices,"11,211.5","11,433.0","12,724.9"
Honduras,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,HNL million,Current Prices,"12,396.3","11,721.4","12,882.2"
Mexico,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,MXN million,Current Prices,"326,279.3","306,771.4","342,316.0"
Panama,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PAB million,Current Prices,"2,011.2","1,643.1","1,836.2"
Paraguay,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PYG million,Current Prices,"3,555,496.8","3,507,260.1","3,887,072.6"
Peru,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,PEN million,Current Prices,"11,971.4","11,220.9","12,805.5"
Uruguay,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,UYU million,Current Prices,"99,895.4","102,130.6","112,533.7"
Venezuela,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,VES million,Current Prices,"4,043,933.8","68,889,722.9","1,138,586,337.6"
Middle East and Africa,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"55,851.3","60,928.8","74,621.5"
Algeria,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,DZD million,Current Prices,"117,859.2","116,798.7","127,161.1"
Angola,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,AOA million,Current Prices,"464,030.8","556,383.9","711,524.6"
Bahrain,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,BHD million,Current Prices,45.0,42.7,43.7
Cameroon,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,XAF million,Current Prices,"102,595.1","104,784.5","110,283.5"
Côte d'Ivoire,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,XOF million,Current Prices,"486,902.3","499,875.7","548,855.2"
Egypt,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EGP million,Current Prices,"245,694.5","275,136.1","316,115.4"
Ethiopia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,ETB million,Current Prices,"19,352.5","25,574.2","33,620.6"
Ghana,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,GHS million,Current Prices,"1,076.9","1,086.3",992.1
Iran,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,IRR million,Current Prices,"496,172,586.7","703,112,396.8","1,050,050,363.6"
Iraq,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,IQD million,Current Prices,"2,544,207.3","2,166,257.9","2,414,153.3"
Israel,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,ILS million,Current Prices,"7,881.7","7,278.3","8,121.2"
Jordan,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,JOD million,Current Prices,388.2,397.5,399.2
Kenya,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,KES million,Current Prices,"60,191.8","62,352.5","69,058.3"
Kuwait,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,KWD million,Current Prices,129.6,103.3,105.6
Lebanon,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,LBP million,Current Prices,"2,895,066.5","3,568,417.0","8,672,663.1"
Morocco,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,MAD million,Current Prices,"9,571.1","9,060.6","9,710.6"
Nigeria,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,NGN million,Current Prices,"1,041,405.9","1,036,420.2","1,306,457.5"
Oman,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,OMR million,Current Prices,38.2,34.1,35.0
Qatar,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,QAR million,Current Prices,"1,751.9","1,590.9","1,737.0"
Saudi Arabia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,SAR million,Current Prices,"5,404.4","5,488.0","6,274.7"
South Africa,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,ZAR million,Current Prices,"18,023.7","18,593.6","19,904.6"
Tanzania,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TZS million,Current Prices,"2,184,578.0","2,372,565.6","2,580,048.3"
Tunisia,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TND million,Current Prices,"1,721.1","1,795.1","1,924.2"
Uganda,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,UGX million,Current Prices,"2,752,951.9","2,843,991.4","3,037,204.2"
United Arab Emirates,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,AED million,Current Prices,"2,634.5","2,263.7","2,305.8"
North America,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"636,554.5","667,247.9","701,442.4"
Canada,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CAD million,Current Prices,"27,648.3","28,850.5","30,934.0"
USA,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"615,718.0","645,735.1","676,771.8"
Western Europe,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,USD million,Current Prices,"166,175.7","167,322.6","184,502.8"
Austria,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"3,193.8","2,967.4","3,135.3"
Belgium,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"3,988.8","3,661.1","4,061.9"
Denmark,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,DKK million,Current Prices,"14,283.6","14,289.1","15,039.8"
Finland,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"1,931.8","1,842.7","1,951.2"
France,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"19,801.3","18,289.4","19,937.8"
Germany,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"40,914.0","42,090.0","43,153.6"
Greece,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"2,486.0","2,306.6","2,407.8"
Ireland,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,754.0,681.9,757.1
Italy,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"14,061.9","13,005.2","14,140.1"
Netherlands,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"3,392.5","3,487.7","3,772.8"
Norway,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,NOK million,Current Prices,"20,124.9","19,480.9","20,833.4"
Portugal,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"2,578.8","2,597.5","2,679.5"
Spain,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,EUR million,Current Prices,"13,143.0","11,489.2","12,406.3"
Sweden,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,SEK million,Current Prices,"33,817.2","33,767.3","36,193.4"
Switzerland,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,CHF million,Current Prices,"17,394.3","17,269.2","18,226.6"
Turkey,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,TRY million,Current Prices,"17,352.1","20,307.4","31,178.3"
United Kingdom,"Consumer Expenditure on Pharmaceutical Products, Medical Appliances and Equipment",Socio-economic indicators,GBP million,Current Prices,"13,653.8","15,718.1","16,282.9"
